,index,content,sentiment
0,1,ディフェンスとオフェンスのドリブル時のバランスが良くなっている。,0.8999999761581421
1,1,ただセカンドボールへの反応が悪すぎるので、そこを改善してもらえるとありがたいです。,-0.6000000238418579
2,2,アプデ前まで普通に出来てたのが、アプデ後になっていきなりプレーが切れる度に重くなったりフリーズするようになった。,-0.800000011920929
3,2,できる限りの事はやったけど変わらなかった。,-0.5
4,2,これで回線切れることもたまにあるのでどうにかして欲しい。,-0.699999988079071
5,3,ネット環境の問題も全くないのに画面がカクカクすることがある。,-0.800000011920929
6,3,でも、スマホなどのサッカーゲームとしては良くできているなと思います。,0.5
7,3,無課金でも楽しめるような内容にしてほしいです。（,-0.6000000238418579
8,3,コインやGPが貯まるとプレイヤーも楽しめます。）,0.8999999761581421
9,3,毎日楽しくプレイさせてもらってます。,0.8999999761581421
10,3,これからもよろしくお願いします。,0.8999999761581421
11,3,147 人のユーザーが、こ,-0.10000000149011612
12,4,最初の頃は楽しくやっていたが、ここ最近は、division4から上にかけて、回線操作なのか他のレビューでもあるエフェクト？,-0.699999988079071
13,4,効果なのかまともに操作できない。,-0.800000011920929
14,4,それにより、勝てる試合も勝てなくなっている。,-0.699999988079071
15,4,マッチングのときの電波状況もあてになりません。４だろうが２だろうがまったく違いなし。,0.0
16,4,相手の攻撃時は普通なのに、こちらのチャンス時にはなぜか動きが鈍くなるし、なぜかすべて必ず相手ボールになってしまいカウンターくらいゴールされる。,-0.4000000059604645
17,4,ディフェンス時も同様で、こちらが操作しようと思うと入力からワンテンポ以上遅れての動作により相手にすぐカットされるか、なぜか必ず相手にクリアボールがいき、ゴールを許す。,-0.6000000238418579
18,4,そうでなくても必ず相手にボールが跳ね返るようになっている。,-0.5
19,4,結局、回線の強い人？,-0.6000000238418579
20,4,=division1.2.3あたりに集中している。,0.0
21,5,オンライン対戦のときAI対戦の時より操作しづらいです。,-0.8999999761581421
22,5,対人戦はやりません。,-0.5
23,5,AI対戦の時の方が個人的にはやり易いです。,0.20000000298023224
24,5,アプデの時毎度容量空けておかないと容量不足になるのでなるべく気を付けるようにしてます。,-0.30000001192092896
25,5,普通に楽しんでやったりガチャやったりする分には楽しいですし、ゲーム自体は好きです！,0.8999999761581421
26,5,その分容量が多くなるのは致し方ないのかなと思ってます。,-0.30000001192092896
27,5,不具合やバグはつきものだと思いますので改善や改良しながらアプデしてサッカー好きなのでこれからもプレーしていこうと思います！,0.6000000238418579
28,5,次回26年ワールドカップ楽しみです！,0.8999999761581421
29,5,どんな違った日本代表がみれるかいろんな賛否両論ありますが森保監督に期待したいと思います！,0.8999999761581421
30,5,ベスト8へ！,0.6000000238418579
31,5,いけたらさらに上へ！,0.5
32,6,"This new updates has quite some playability bugs, like multiple blackouts in set pieces, corners or even after you score a goal and such.",-0.6000000238418579
33,6,"There's also a problem that things get very laggy with heavy frame chops during replays, which also affects the gameplay afterwards.",-0.800000011920929
34,6,I hope the next patch comes very soon since this new update is very unstable and almost unplayable.,-0.800000011920929
35,6,"Appreciate the new features a bit though, even when the bugs ruin things.",-0.10000000149011612
36,6,Gave a 3 stars since I still have some faith in Konami,0.0
37,7,"It's playable but there is a glitch in android when my player passes to another player, even though I'm pressing dash the player just stops running.",-0.5
38,7,(I tried the game on a ios and the problem is not there but on other android it's still there.),-0.5
39,7,"The teammate AI is terrible as well, they don't go forward when it's needed.",-0.800000011920929
40,7,"Please, fix it!",-0.699999988079071
41,7,It's a really fun game!,0.8999999761581421
42,8,1 star.,-0.800000011920929
43,8,Would give it 0 if I could.,-0.8999999761581421
44,8,The controls are horrible.,-0.800000011920929
45,8,The passing is slow and you can't build any momentum.,-0.800000011920929
46,8,Dribbling feels like driving a truck.,0.20000000298023224
47,8,Takes ages for players to turn.,-0.699999988079071
48,8,Players look lost whenever they lose possession and they don't try to win it back.,-0.699999988079071
49,8,Defenders just walk right past attackers without even tackling.,0.30000001192092896
50,8,The menus are just cramped into one page.,-0.699999988079071
51,8,Many good game modes removed.,0.20000000298023224
52,8,They objectives give basically nothing in return.,-0.699999988079071
53,8,Buggy and scripted.,-0.800000011920929
54,8,WOAT pes game.,0.4000000059604645
55,9,There are many problems here.,-0.800000011920929
56,9,"Like, while kicking it keeps asking me how to kick.",-0.30000001192092896
57,9,I have faced lagging issue when I was playing international cup.,-0.800000011920929
58,9,This game needs more development.,-0.5
59,9,It would be nice if all the settings could be saved and the World Cup could be played both computer and online.,0.0
60,9,"One more thing, if the player's speed was given to the left joystick.",-0.10000000149011612
61,9,"For example, if you pull the joystick slowly, the player will run slowly, and if you pull it hard, it will run fast.",-0.30000001192092896
62,10,"I think it is one of the best games , I have ever played.",0.8999999761581421
63,10,There can be some additions.,0.0
64,10,For example.,0.0
65,10,There should be a feature which tells about the stats of that player with my team.,-0.30000001192092896
66,10,There should be representation when there is substitution.,-0.4000000059604645
67,10,There should be more tournaments except the casual matches which could provide us with trophies and boots.,-0.20000000298023224
68,10,These features could make the game more interactive and addictive,0.0
